lga_code,lga_name,ward_name
auyo,Auyo,Auyo
auyo,Auyo,Auyakayi
auyo,Auyo,Ayama
auyo,Auyo,Ayan
auyo,Auyo,Gamafoi
auyo,Auyo,Gamsarka
auyo,Auyo,Gatafa
babura,Babura,Batali
babura,Babura,Dorawa
babura,Babura,Garu
babura,Babura,Gasakoli
babura,Babura,Insharuwa
babura,Babura,Jigawa
babura,Babura,Kanya
birnin_kudu,"Birnin Kudu","Birnin Kudu"
birnin_kudu,"Birnin Kudu",Kantoga
birnin_kudu,"Birnin Kudu",Kangire
birnin_kudu,"Birnin Kudu",Kiyako
birnin_kudu,"Birnin Kudu",Kwangwara
birnin_kudu,"Birnin Kudu",Lafiya
birnin_kudu,"Birnin Kudu",Sundimina
birnin_kudu,"Birnin Kudu",Surko
birnin_kudu,"Birnin Kudu",Unguwar'ya
birnin_kudu,"Birnin Kudu",Wurno
birnin_kudu,"Birnin Kudu","Yalwan Damai"
biriniwa,Birniwa,Birniwa
biriniwa,Birniwa,Dangwaleri
biriniwa,Birniwa,Diginsa
biriniwa,Birniwa,Fagi
biriniwa,Birniwa,Kachallari
biriniwa,Birniwa,Karanka
buji,Buji,Buji
buji,Buji,Churbun
buji,Buji,Gantsa
buji,Buji,Falageri
buji,Buji,Kawayaya
buji,Buji,Kukuma
dutse,Dutse,Abaya
dutse,Dutse,Chamo
dutse,Dutse,Dundubus
dutse,Dutse,Duru
dutse,Dutse,"Jigawar Tsada"
dutse,Dutse,Kachi
dutse,Dutse,Karnaya
dutse,Dutse,Kudai
dutse,Dutse,Limawa
dutse,Dutse,Madobi
dutse,Dutse,Sakwaya
gagarawa,Gagarawa,"Gagarawa Tasha"
gagarawa,Gagarawa,"Garin Chiroma"
gagarawa,Gagarawa,"Kore Balatu"
gagarawa,Gagarawa,Madaka
gagarawa,Gagarawa,Maikulki
gagarawa,Gagarawa,Medu
gagarawa,Gagarawa,Yalawa
garki,Garki,Buduru
garki,Garki,Doko
garki,Garki,Garki
garki,Garki,"Gwarzon Garki"
garki,Garki,Jirima
garki,Garki,Kanya
garki,Garki,Kargo
garki,Garki,Kore
gumel,Gumel,Baikarya
gumel,Gumel,Danama
gumel,Gumel,Dantanoma
gumel,Gumel,Galagamma
gumel,Gumel,"Garin Gambo"
gumel,Gumel,Gusau
gumel,Gumel,Hammado
guri,Guri,Adiyani
guri,Guri,Dawa
guri,Guri,Garbagal
guri,Guri,Guri
guri,Guri,Kadira
guri,Guri,Kafiya
gwaram,Gwaram,Dingaya
gwaram,Gwaram,Fagam
gwaram,Gwaram,"Farin Dutse"
gwaram,Gwaram,"Gwaram Tsohuwa"
gwaram,Gwaram,Kila
gwaram,Gwaram,Kwandiko
gwiwa,Gwiwa,Buntusu
gwiwa,Gwiwa,Dabi
gwiwa,Gwiwa,Darina
gwiwa,Gwiwa,F/Yamma
gwiwa,Gwiwa,Guntai
gwiwa,Gwiwa,Gwiwa
gwiwa,Gwiwa,Korayel
hadejia,Hadejia,Atafi
hadejia,Hadejia,Dubantu
hadejia,Hadejia,Gagulmari
hadejia,Hadejia,"Kasuwar Kuda"
hadejia,Hadejia,"Kasuwar Kofa"
hadejia,Hadejia,Majema
hadejia,Hadejia,Matsaro
jahun,Jahun,Aujara
jahun,Jahun,Gangawa
jahun,Jahun,"Gauza Tazara"
jahun,Jahun,Gunka
jahun,Jahun,"Harbo Sabuwa"
jahun,Jahun,"Harbo Tsohuwa"
jahun,Jahun,Idanduna
jahun,Jahun,Jabarna
jahun,Jahun,Jahun
jahun,Jahun,Kale
jahun,Jahun,Kanwa
kafin_hausa,"Kafin Hausa",Balangu
kafin_hausa,"Kafin Hausa","Dumadumin Toka"
kafin_hausa,"Kafin Hausa",Gafaya
kafin_hausa,"Kafin Hausa",Jabo
kafin_hausa,"Kafin Hausa","Kafin Hausa"
kafin_hausa,"Kafin Hausa",Kazalewa
kafin_hausa,"Kafin Hausa",Majawa
kafin_hausa,"Kafin Hausa",Mezan
kafin_hausa,"Kafin Hausa",Ruba
kafin_hausa,"Kafin Hausa",Sarawa
kafin_hausa,"Kafin Hausa",Zago
kaugama,Kaugama,Arbus
kaugama,Kaugama,Askandu
kaugama,Kaugama,Dabuwaran
kaugama,Kaugama,Dakaiyawa
kaugama,Kaugama,Hadin
kaugama,Kaugama,Jae
kazaure,Kazaure,Baauzini
kazaure,Kazaure,Daba
kazaure,Kazaure,Dabaza
kazaure,Kazaure,Dandi
kazaure,Kazaure,Gada
kazaure,Kazaure,Kanti
kazaure,Kazaure,Karaduwa
kiri_kasama,"Kiri Kasama",Baturiya
kiri_kasama,"Kiri Kasama",Bulunchai
kiri_kasama,"Kiri Kasama",Doleri
kiri_kasama,"Kiri Kasama",Fandum
kiri_kasama,"Kiri Kasama",Gayin
kiri_kasama,"Kiri Kasama","Kiri Kasama"
kiyawa,Kiyawa,Abalago
kiyawa,Kiyawa,Andaza
kiyawa,Kiyawa,Faki
kiyawa,Kiyawa,Garko
kiyawa,Kiyawa,Guruduba
miga,Miga,Dangyatin
miga,Miga,Garbo
miga,Miga,Hantsu
miga,Miga,Koya
miga,Miga,Miga
miga,Miga,"Sabon Gari TakaneBU"
miga,Miga,Sansani
miga,Miga,Tsakuwawo
miga,Miga,Yanduna
miga,Miga,Zareku
ringim,Ringim,Chai-Chai
ringim,Ringim,Dabi
ringim,Ringim,"Kafin Babushe"
ringim,Ringim,Karshi
ringim,Ringim,Kyarama
ringim,Ringim,Ringim
ringim,Ringim,Sankara
ringim,Ringim,Sintilmawa
ringim,Ringim,Tofa
ringim,Ringim,Yandutse
maigatari,Maigatari,
malam_madori,"Malam Madori",
roni,Roni,
sule_tankarkar,"Sule Tankarkar",
taura,Taura,
yankwashi,Yankwashi,
